County,Percent Owner-Occupied,Percent Renter-Occupied
"Baldwin County, Alabama",77.9,22.1
"Calhoun County, Alabama",86.5,13.5
"Cullman County, Alabama",89.2,10.8
"DeKalb County, Alabama",87.2,12.8
"Elmore County, Alabama",89.7,10.3
"Etowah County, Alabama",83.8,16.2
"Houston County, Alabama",88.7,11.3
"Jefferson County, Alabama",87.2,12.8
"Lauderdale County, Alabama",91.3,8.7
"Lee County, Alabama",91.3,8.7
"Limestone County, Alabama",96.1,3.9
"Madison County, Alabama",92.8,7.2
"Marshall County, Alabama",86.4,13.6
"Mobile County, Alabama",87.8,12.2
"Montgomery County, Alabama",87.1,12.9
"Morgan County, Alabama",91.9,8.1
"St. Clair County, Alabama",88.5,11.5
"Shelby County, Alabama",94.7,5.3
"Talladega County, Alabama",87.8,12.2
"Tuscaloosa County, Alabama",88.9,11.1
"Anchorage Municipality, Alaska",90.2,9.8
"Fairbanks North Star Borough, Alaska",87.9,12.1
"Matanuska-Susitna Borough, Alaska",77.8,22.2
"Apache County, Arizona",82.3,17.7
"Cochise County, Arizona",84.6,15.4
"Coconino County, Arizona",80.2,19.8
"Maricopa County, Arizona",91.6,8.4
"Mohave County, Arizona",80.4,19.6
"Navajo County, Arizona",72.2,27.8
"Pima County, Arizona",92.0,8.0
"Pinal County, Arizona",88.8,11.2
"Yavapai County, Arizona",88.5,11.5
"Yuma County, Arizona",86.8,13.2
"Benton County, Arkansas",92.2,7.8
"Craighead County, Arkansas",94.4,5.6
"Faulkner County, Arkansas",92.9,7.1
"Garland County, Arkansas",85.4,14.6
"Jefferson County, Arkansas",77.8,22.2
"Lonoke County, Arkansas",94.2,5.8
"Pulaski County, Arkansas",86.9,13.1
"Saline County, Arkansas",94.7,5.3
"Sebastian County, Arkansas",89.2,10.8
"Washington County, Arkansas",92.5,7.5
"White County, Arkansas",89.9,10.1
"Alameda County, California",94.2,5.8
"Butte County, California",91.9,8.1
"Contra Costa County, California",96.3,3.7
"El Dorado County, California",81.6,18.4
"Fresno County, California",94.5,5.5
"Humboldt County, California",88.7,11.3
"Imperial County, California",85.1,14.9
"Kern County, California",93.6,6.4
"Kings County, California",93.3,6.7
"Lake County, California",75.9,24.1
"Los Angeles County, California",93.9,6.1
"Madera County, California",90.4,9.6
"Marin County, California",90.4,9.6
"Mendocino County, California",83.5,16.5
"Merced County, California",95.4,4.6
"Monterey County, California",90.3,9.7
"Napa County, California",91.3,8.7
"Nevada County, California",78.3,21.7
"Orange County, California",94.7,5.3
"Placer County, California",87.7,12.3
"Riverside County, California",90.2,9.8
"Sacramento County, California",95.0,5.0
"San Benito County, California",93.1,6.9
"San Bernardino County, California",91.1,8.9
"San Diego County, California",93.6,6.4
"San Francisco County, California",89.0,11.0
"San Joaquin County, California",94.7,5.3
"San Luis Obispo County, California",87.0,13.0
"San Mateo County, California",92.0,8.0
"Santa Barbara County, California",93.2,6.8
"Santa Clara County, California",94.5,5.5
"Santa Cruz County, California",92.5,7.5
"Shasta County, California",90.1,9.9
"Solano County, California",95.3,4.7
"Sonoma County, California",92.2,7.8
"Stanislaus County, California",96.2,3.8
"Sutter County, California",95.3,4.7
"Tehama County, California",90.4,9.6
"Tulare County, California",93.7,6.3
"Ventura County, California",95.3,4.7
"Yolo County, California",92.3,7.7
"Yuba County, California",93.6,6.4
"Adams County, Colorado",96.3,3.7
"Arapahoe County, Colorado",96.0,4.0
"Boulder County, Colorado",93.9,6.1
"Broomfield County, Colorado",97.4,2.6
"Denver County, Colorado",93.5,6.5
"Douglas County, Colorado",97.9,2.1
"El Paso County, Colorado",95.7,4.3
"Jefferson County, Colorado",94.7,5.3
"Larimer County, Colorado",93.5,6.5
"Mesa County, Colorado",95.4,4.6
"Pueblo County, Colorado",92.2,7.8
"Weld County, Colorado",96.0,4.0
"Capitol Planning Region, Connecticut",93.7,6.3
"Greater Bridgeport Planning Region, Connecticut",94.5,5.5
"Lower Connecticut River Valley Planning Region, Connecticut",91.4,8.6
"Naugatuck Valley Planning Region, Connecticut",93.8,6.2
"Northeastern Connecticut Planning Region, Connecticut",96.4,3.6
"Northwest Hills Planning Region, Connecticut",90.0,10.0
"South Central Connecticut Planning Region, Connecticut",93.5,6.5
"Southeastern Connecticut Planning Region, Connecticut",90.2,9.8
"Western Connecticut Planning Region, Connecticut",94.0,6.0
"Kent County, Delaware",95.2,4.8
"New Castle County, Delaware",95.4,4.6
"Sussex County, Delaware",71.3,28.7
"District of Columbia, District of Columbia",91.2,8.8
"Alachua County, Florida",93.5,6.5
"Bay County, Florida",72.8,27.2
"Brevard County, Florida",85.1,14.9
"Broward County, Florida",87.4,12.6
"Charlotte County, Florida",73.2,26.8
"Citrus County, Florida",87.6,12.4
"Clay County, Florida",95.8,4.2
"Collier County, Florida",67.7,32.3
"Columbia County, Florida",89.2,10.8
"Duval County, Florida",92.1,7.9
"Escambia County, Florida",86.9,13.1
"Flagler County, Florida",87.9,12.1
"Hernando County, Florida",91.2,8.8
"Highlands County, Florida",79.8,20.2
"Hillsborough County, Florida",92.0,8.0
"Indian River County, Florida",83.1,16.9
"Lake County, Florida",89.9,10.1
"Lee County, Florida",72.2,27.8
"Leon County, Florida",89.2,10.8
"Manatee County, Florida",83.1,16.9
"Marion County, Florida",88.2,11.8
"Martin County, Florida",82.2,17.8
"Miami-Dade County, Florida",89.3,10.7
"Monroe County, Florida",59.1,40.9
"Nassau County, Florida",88.1,11.9
"Okaloosa County, Florida",82.6,17.4
"Orange County, Florida",92.8,7.2
"Osceola County, Florida",86.3,13.7
"Palm Beach County, Florida",83.4,16.6
"Pasco County, Florida",85.8,14.2
"Pinellas County, Florida",84.3,15.7
"Polk County, Florida",87.0,13.0
"Putnam County, Florida",84.8,15.2
"St. Johns County, Florida",89.3,10.7
"St. Lucie County, Florida",87.4,12.6
"Santa Rosa County, Florida",89.2,10.8
"Sarasota County, Florida",79.9,20.1
"Seminole County, Florida",93.5,6.5
"Sumter County, Florida",82.6,17.4
"Volusia County, Florida",85.0,15.0
"Walton County, Florida",55.7,44.3
"Barrow County, Georgia",96.7,3.3
"Bartow County, Georgia",90.0,10.0
"Bibb County, Georgia",84.7,15.3
"Bulloch County, Georgia",89.5,10.5
"Carroll County, Georgia",91.5,8.5
"Catoosa County, Georgia",91.1,8.9
"Chatham County, Georgia",88.4,11.6
"Cherokee County, Georgia",94.1,5.9
"Clarke County, Georgia",93.4,6.6
"Clayton County, Georgia",92.1,7.9
"Cobb County, Georgia",94.4,5.6
"Columbia County, Georgia",91.7,8.3
"Coweta County, Georgia",95.1,4.9
"DeKalb County, Georgia",87.4,12.6
"Dougherty County, Georgia",86.3,13.7
"Douglas County, Georgia",93.3,6.7
"Effingham County, Georgia",95.4,4.6
"Fayette County, Georgia",95.8,4.2
"Floyd County, Georgia",91.9,8.1
"Forsyth County, Georgia",95.2,4.8
"Fulton County, Georgia",89.0,11.0
"Glynn County, Georgia",85.3,14.7
"Gwinnett County, Georgia",95.5,4.5
"Hall County, Georgia",91.8,8.2
"Henry County, Georgia",94.9,5.1
"Houston County, Georgia",91.7,8.3
"Jackson County, Georgia",94.1,5.9
"Liberty County, Georgia",87.4,12.6
"Lowndes County, Georgia",91.5,8.5
"Muscogee County, Georgia",88.2,11.8
"Newton County, Georgia",95.9,4.1
"Paulding County, Georgia",94.5,5.5
"Richmond County, Georgia",82.3,17.7
"Rockdale County, Georgia",96.2,3.8
"Spalding County, Georgia",92.1,7.9
"Troup County, Georgia",93.9,6.1
"Walker County, Georgia",87.2,12.8
"Walton County, Georgia",96.3,3.7
"Whitfield County, Georgia",92.7,7.3
"Hawaii County, Hawaii",80.8,19.2
"Honolulu County, Hawaii",90.0,10.0
"Kauai County, Hawaii",80.4,19.6
"Maui County, Hawaii",77.3,22.7
"Ada County, Idaho",96.1,3.9
"Bannock County, Idaho",91.8,8.2
"Bonneville County, Idaho",93.3,6.7
"Canyon County, Idaho",95.4,4.6
"Kootenai County, Idaho",89.8,10.2
"Twin Falls County, Idaho",94.2,5.8
"Champaign County, Illinois",92.9,7.1
"Cook County, Illinois",92.8,7.2
"DeKalb County, Illinois",96.0,4.0
"DuPage County, Illinois",96.1,3.9
"Kane County, Illinois",96.9,3.1
"Kankakee County, Illinois",90.4,9.6
"Kendall County, Illinois",95.3,4.7
"Lake County, Illinois",95.9,4.1
"LaSalle County, Illinois",88.9,11.1
"McHenry County, Illinois",97.6,2.4
"McLean County, Illinois",94.0,6.0
"Macon County, Illinois",87.9,12.1
"Madison County, Illinois",92.9,7.1
"Peoria County, Illinois",91.3,8.7
"Rock Island County, Illinois",93.5,6.5
"St. Clair County, Illinois",88.3,11.7
"Sangamon County, Illinois",91.4,8.6
"Tazewell County, Illinois",92.2,7.8
"Vermilion County, Illinois",89.6,10.4
"Will County, Illinois",96.2,3.8
"Williamson County, Illinois",91.6,8.4
"Winnebago County, Illinois",92.4,7.6
"Allen County, Indiana",95.3,4.7
"Bartholomew County, Indiana",94.1,5.9
"Boone County, Indiana",97.3,2.7
"Clark County, Indiana",92.7,7.3
"Delaware County, Indiana",85.7,14.3
"Elkhart County, Indiana",90.8,9.2
"Floyd County, Indiana",90.8,9.2
"Grant County, Indiana",92.5,7.5
"Hamilton County, Indiana",94.0,6.0
"Hancock County, Indiana",95.9,4.1
"Hendricks County, Indiana",97.8,2.2
"Howard County, Indiana",88.8,11.2
"Johnson County, Indiana",95.7,4.3
"Kosciusko County, Indiana",82.3,17.7
"Lake County, Indiana",90.4,9.6
"LaPorte County, Indiana",91.1,8.9
"Madison County, Indiana",91.2,8.8
"Marion County, Indiana",92.2,7.8
"Monroe County, Indiana",92.0,8.0
"Morgan County, Indiana",96.1,3.9
"Porter County, Indiana",93.1,6.9
"St. Joseph County, Indiana",89.7,10.3
"Tippecanoe County, Indiana",93.2,6.8
"Vanderburgh County, Indiana",90.1,9.9
"Vigo County, Indiana",89.9,10.1
"Warrick County, Indiana",92.6,7.4
"Wayne County, Indiana",87.2,12.8
"Black Hawk County, Iowa",91.1,8.9
"Dallas County, Iowa",94.4,5.6
"Dubuque County, Iowa",98.4,1.6
"Johnson County, Iowa",92.2,7.8
"Linn County, Iowa",92.8,7.2
"Polk County, Iowa",93.4,6.6
"Pottawattamie County, Iowa",95.2,4.8
"Scott County, Iowa",95.4,4.6
"Story County, Iowa",91.9,8.1
"Woodbury County, Iowa",92.5,7.5
"Butler County, Kansas",93.7,6.3
"Douglas County, Kansas",94.3,5.7
"Johnson County, Kansas",95.7,4.3
"Leavenworth County, Kansas",94.0,6.0
"Riley County, Kansas",90.2,9.8
"Sedgwick County, Kansas",92.0,8.0
"Shawnee County, Kansas",90.9,9.1
"Wyandotte County, Kansas",90.2,9.8
"Boone County, Kentucky",95.8,4.2
"Bullitt County, Kentucky",94.9,5.1
"Campbell County, Kentucky",95.2,4.8
"Christian County, Kentucky",87.6,12.4
"Daviess County, Kentucky",94.4,5.6
"Fayette County, Kentucky",94.2,5.8
"Hardin County, Kentucky",94.5,5.5
"Jefferson County, Kentucky",91.8,8.2
"Kenton County, Kentucky",91.2,8.8
"McCracken County, Kentucky",89.4,10.6
"Madison County, Kentucky",91.4,8.6
"Oldham County, Kentucky",96.8,3.2
"Pulaski County, Kentucky",82.4,17.6
"Warren County, Kentucky",93.9,6.1
"Ascension Parish, Louisiana",91.4,8.6
"Bossier Parish, Louisiana",94.5,5.5
"Caddo Parish, Louisiana",87.7,12.3
"Calcasieu Parish, Louisiana",82.0,18.0
"East Baton Rouge Parish, Louisiana",85.4,14.6
"Iberia Parish, Louisiana",84.2,15.8
"Jefferson Parish, Louisiana",90.8,9.2
"Lafayette Parish, Louisiana",89.7,10.3
"Lafourche Parish, Louisiana",92.4,7.6
"Livingston Parish, Louisiana",91.2,8.8
"Orleans Parish, Louisiana",78.9,21.1
"Ouachita Parish, Louisiana",88.1,11.9
"Rapides Parish, Louisiana",85.4,14.6
"St. Landry Parish, Louisiana",92.7,7.3
"St. Tammany Parish, Louisiana",91.8,8.2
"Tangipahoa Parish, Louisiana",88.8,11.2
"Terrebonne Parish, Louisiana",89.2,10.8
"Androscoggin County, Maine",94.9,5.1
"Aroostook County, Maine",84.8,15.2
"Cumberland County, Maine",86.5,13.5
"Kennebec County, Maine",86.8,13.2
"Penobscot County, Maine",87.5,12.5
"York County, Maine",80.6,19.4
"Allegany County, Maryland",86.3,13.7
"Anne Arundel County, Maryland",95.2,4.8
"Baltimore County, Maryland",94.6,5.4
"Calvert County, Maryland",92.7,7.3
"Carroll County, Maryland",96.0,4.0
"Cecil County, Maryland",92.5,7.5
"Charles County, Maryland",96.7,3.3
"Frederick County, Maryland",96.4,3.6
"Harford County, Maryland",97.6,2.4
"Howard County, Maryland",96.2,3.8
"Montgomery County, Maryland",96.5,3.5
"Prince George's County, Maryland",95.2,4.8
"St. Mary's County, Maryland",92.7,7.3
"Washington County, Maryland",92.1,7.9
"Wicomico County, Maryland",89.4,10.6
"Baltimore city, Maryland",88.1,11.9
"Barnstable County, Massachusetts",65.6,34.4
"Berkshire County, Massachusetts",83.9,16.1
"Bristol County, Massachusetts",95.2,4.8
"Essex County, Massachusetts",94.8,5.2
"Franklin County, Massachusetts",93.8,6.2
"Hampden County, Massachusetts",93.4,6.6
"Hampshire County, Massachusetts",92.1,7.9
"Middlesex County, Massachusetts",94.9,5.1
"Norfolk County, Massachusetts",96.4,3.6
"Plymouth County, Massachusetts",92.5,7.5
"Suffolk County, Massachusetts",92.2,7.8
"Worcester County, Massachusetts",94.2,5.8
"Allegan County, Michigan",87.2,12.8
"Bay County, Michigan",91.2,8.8
"Berrien County, Michigan",84.0,16.0
"Calhoun County, Michigan",91.4,8.6
"Clinton County, Michigan",94.4,5.6
"Eaton County, Michigan",94.3,5.7
"Genesee County, Michigan",89.1,10.9
"Grand Traverse County, Michigan",89.4,10.6
"Ingham County, Michigan",92.5,7.5
"Ionia County, Michigan",94.6,5.4
"Jackson County, Michigan",89.1,10.9
"Kalamazoo County, Michigan",93.7,6.3
"Kent County, Michigan",95.2,4.8
"Lapeer County, Michigan",92.3,7.7
"Lenawee County, Michigan",91.4,8.6
"Livingston County, Michigan",95.0,5.0
"Macomb County, Michigan",95.8,4.2
"Marquette County, Michigan",85.2,14.8
"Midland County, Michigan",96.0,4.0
"Monroe County, Michigan",93.8,6.2
"Montcalm County, Michigan",87.3,12.7
"Muskegon County, Michigan",92.5,7.5
"Oakland County, Michigan",94.7,5.3
"Ottawa County, Michigan",95.9,4.1
"Saginaw County, Michigan",89.4,10.6
"St. Clair County, Michigan",94.6,5.4
"Shiawassee County, Michigan",88.7,11.3
"Van Buren County, Michigan",82.8,17.2
"Washtenaw County, Michigan",93.3,6.7
"Wayne County, Michigan",86.6,13.4
"Anoka County, Minnesota",96.5,3.5
"Blue Earth County, Minnesota",89.6,10.4
"Carver County, Minnesota",97.8,2.2
"Clay County, Minnesota",96.6,3.4
"Crow Wing County, Minnesota",72.9,27.1
"Dakota County, Minnesota",97.5,2.5
"Hennepin County, Minnesota",94.1,5.9
"Olmsted County, Minnesota",91.9,8.1
"Ramsey County, Minnesota",95.3,4.7
"Rice County, Minnesota",92.4,7.6
"St. Louis County, Minnesota",83.8,16.2
"Scott County, Minnesota",96.9,3.1
"Sherburne County, Minnesota",95.3,4.7
"Stearns County, Minnesota",90.4,9.6
"Washington County, Minnesota",97.6,2.4
"Wright County, Minnesota",94.1,5.9
"DeSoto County, Mississippi",91.7,8.3
"Forrest County, Mississippi",89.2,10.8
"Harrison County, Mississippi",89.4,10.6
"Hinds County, Mississippi",83.3,16.7
"Jackson County, Mississippi",92.4,7.6
"Jones County, Mississippi",88.8,11.2
"Lamar County, Mississippi",94.5,5.5
"Lauderdale County, Mississippi",88.5,11.5
"Lee County, Mississippi",84.9,15.1
"Madison County, Mississippi",95.0,5.0
"Rankin County, Mississippi",93.2,6.8
"Boone County, Missouri",93.0,7.0
"Buchanan County, Missouri",86.3,13.7
"Cape Girardeau County, Missouri",92.7,7.3
"Cass County, Missouri",94.0,6.0
"Christian County, Missouri",95.6,4.4
"Clay County, Missouri",95.4,4.6
"Cole County, Missouri",94.7,5.3
"Franklin County, Missouri",94.0,6.0
"Greene County, Missouri",94.4,5.6
"Jackson County, Missouri",91.6,8.4
"Jasper County, Missouri",93.9,6.1
"Jefferson County, Missouri",93.8,6.2
"Platte County, Missouri",94.7,5.3
"St. Charles County, Missouri",96.1,3.9
"St. Francois County, Missouri",88.0,12.0
"St. Louis County, Missouri",93.8,6.2
"St. Louis city, Missouri",86.0,14.0
"Cascade County, Montana",91.3,8.7
"Flathead County, Montana",86.5,13.5
"Gallatin County, Montana",91.1,8.9
"Lewis and Clark County, Montana",89.8,10.2
"Missoula County, Montana",94.5,5.5
"Yellowstone County, Montana",96.2,3.8
"Douglas County, Nebraska",95.3,4.7
"Lancaster County, Nebraska",96.4,3.6
"Sarpy County, Nebraska",95.9,4.1
"Clark County, Nevada",91.4,8.6
"Washoe County, Nevada",89.9,10.1
"Belknap County, New Hampshire",68.9,31.1
"Cheshire County, New Hampshire",88.5,11.5
"Grafton County, New Hampshire",77.3,22.7
"Hillsborough County, New Hampshire",95.6,4.4
"Merrimack County, New Hampshire",93.1,6.9
"Rockingham County, New Hampshire",91.4,8.6
"Strafford County, New Hampshire",93.8,6.2
"Atlantic County, New Jersey",84.1,15.9
"Bergen County, New Jersey",96.2,3.8
"Burlington County, New Jersey",96.1,3.9
